location,Epidemic,Medium,High,Very High,abbreviation,location_name,population
US,4894.99300615592,7407.893441324822,24543.327964432032,41674.90619030139,US,US,340110988
01,85.97683824910662,81.66264311057975,397.7996268222842,800.9325343778877,AL,Alabama,5157699
02,9.046774405547843,8.92438982549907,70.69768860056517,176.47334499523495,AK,Alaska,740133
04,185.43632366741636,293.03505534727634,978.0685839703497,1666.2099677574208,AZ,Arizona,7582384
05,78.04439797443399,125.99368941454858,409.8413972712763,690.2931779682515,AR,Arkansas,3088354
06,251.25967709639207,432.73800940597266,2654.1885164392293,5916.86379757997,CA,California,39431263
08,46.159703853766956,155.36527594186074,325.0727703254666,450.5000996250329,CO,Colorado,5957493
09,54.49225496977487,92.87336850242642,331.53833961929564,581.8314114890547,CT,Connecticut,3675069
10,7.262190562610002,17.937756567703275,62.647051484524994,108.88315037086218,DE,Delaware,1051917
11,12.095182396165477,11.45688223255239,73.70132845743656,167.7974272144804,DC,District of Columbia,702250
12,476.07033309985997,416.88684467456926,1680.6967358543993,3112.4513060328277,FL,Florida,23372215
13,159.3424684993492,128.33323672410262,670.371858538664,1392.052004341274,GA,Georgia,11180878
15,15.495710487818819,10.409185979782592,45.75884736754289,88.0443494925095,HI,Hawaii,1446146
16,14.844177347677196,46.16329028990505,224.1243602054499,450.58874918200763,ID,Idaho,2001619
17,134.6797897539159,221.10902813126998,772.0636851949015,1341.7611675989583,IL,Illinois,12710158
18,150.18500345619782,201.03696418429487,717.1044169511114,1258.048135790521,IN,Indiana,6924275
19,45.37792499662194,81.95081678536508,260.1519013861319,433.47355401073423,IA,Iowa,3241488
20,45.83772619196458,67.6790956490428,222.00250020888748,375.3036884172009,KS,Kansas,2970606
21,90.00008386226214,142.09492211019406,538.4478110172296,970.2073247736055,KY,Kentucky,4588372
22,71.37807378323407,91.57297934518883,326.5984161775177,572.9312700929888,LA,Louisiana,4597740
23,14.966284895301863,40.0566665481727,157.36266182211077,288.1011720532763,ME,Maine,1405012
24,47.01178943746804,104.787911330889,379.9304725382237,671.3533289349998,MD,Maryland,6263220
25,114.16928195081289,253.28887401424404,756.8119573776964,1227.7173421436873,MA,Massachusetts,7136171
26,202.24483828898008,302.53536754715736,964.3079897468469,1609.6515714733098,MI,Michigan,10140459
27,57.503308046884904,81.8731525838052,334.3854402036376,622.8035073711399,MN,Minnesota,5793151
28,74.56109014740792,78.19456644106995,305.23605327182605,557.2574585881441,MS,Mississippi,2943045
29,110.4082762848136,187.44062446426798,730.5327733683228,1332.7778434219088,MO,Missouri,6245466
30,16.43882858325407,37.2167181627331,121.19899253901204,204.23730446648926,MT,Montana,1137233
31,24.362116754378704,54.86321760676442,119.02065291002253,167.60318638076188,NE,Nebraska,2005465
32,34.59182136219914,90.52946433689013,243.1259368380872,376.2391540431001,NV,Nevada,3267467
33,10.812642208485892,29.467483272894288,86.89957802882057,140.15543252292824,NH,New Hampshire,1409032
34,139.96108051410238,226.1176282171198,786.4389151786349,1364.3588033612632,NJ,New Jersey,9500851
35,39.26648743030388,87.7323311894138,326.17982808790464,582.8057266109283,NM,New Mexico,2130256
36,247.04161597147746,437.8702430295838,1672.3169333794724,3023.749930849923,NY,New York,19867248
37,122.32322541003997,155.80576480601027,774.5809105993134,1573.6443577819387,NC,North Carolina,11046024
38,15.103032100650728,15.760266141996706,90.24088006729633,195.14713803252138,ND,North Dakota,796568
39,186.11917214033141,263.33104344657465,1025.5287843521965,1870.3374708055849,OH,Ohio,11883304
40,110.43440938422575,202.95442309316456,644.3754676496053,1073.752299774538,OK,Oklahoma,4095393
41,40.375363912339544,61.016210405309494,408.34865127482664,946.0916512114067,OR,Oregon,4272371
42,200.74015348911936,348.4205735149421,1124.0742520854394,1886.3934275951585,PA,Pennsylvania,13078751
44,5.063946522639279,13.353238056090625,64.07391937296516,128.1502538364519,RI,Rhode Island,1112308
45,81.17759416985672,92.79984516951777,448.86201234982786,900.917747081875,SC,South Carolina,5478831
46,14.763244321217003,26.560729111355496,85.54622911508729,143.45488612376488,SD,South Dakota,924669
47,93.32932038537228,124.89986115352808,597.1204586011221,1192.3267461263335,TN,Tennessee,7227750
48,562.5043517989868,804.6880747607097,2071.568325160455,3146.3912750943987,TX,Texas,31290831
49,14.439172775693402,23.281098775438963,65.62776766455129,103.75787741933787,UT,Utah,3503613
50,5.58999320878457,15.047810263908168,53.54349130474319,93.83119457129374,VT,Vermont,648493
51,146.73621689704493,135.90597089189663,590.1024589223615,1129.225293988036,VA,Virginia,8811195
53,56.551304670230294,91.02808288406673,497.73717139472916,1054.6599012242289,WA,Washington,7958180
54,24.480130715749418,79.66625836536694,260.5066301264486,439.7877213050971,WV,West Virginia,1769979
55,77.26272791253812,124.58781254978584,448.6305348426596,790.3489063188592,WI,Wisconsin,5960975
56,9.851521373245143,16.56948716075958,83.67143119578708,171.1653490545551,WY,Wyoming,587618
72,55.00590979298224,65.25913999483245,148.93933350602032,214.48903816739826,PR,Puerto Rico,3203295
